Order ID,Order Date,Ship Date,Region,State,City,Category,Sub-Category,Sales,Profit,Quantity,Discount,Shipping Cost
ORD-1111,08-2023,08-2023,South,Texas,Austin,Technology,Copiers,64.39,-2.98,6,0.5,30.37
ORD-1112,01-2023,01-2023,South,New York,Buffalo,Office Supplies,Binders,718.35,-46.42,6,0.3,8.55
ORD-1113,10-2023,11-2023,Central,Georgia,Augusta,Technology,Copiers,563.32,-1.09,8,0,45.15
ORD-1114,01-2022,01-2022,West,Georgia,Augusta,Furniture,Chairs,606.42,0.07,4,0,12.06
ORD-1115,11-2022,12-2022,West,Illinois,Springfield,Technology,Accessories,796.9,133.81,6,0.5,30.85
ORD-1116,12-2022,12-2022,West,Illinois,Peoria,Technology,Accessories,823.95,112.64,9,0.3,19.81
ORD-1117,01-2022,01-2022,West,Ohio,Columbus,Office Supplies,Binders,952.7,373.13,5,0,49.72
ORD-1118,08-2022,08-2022,Central,Washington,Seattle,Furniture,Chairs,767.12,279.56,5,0,37.8
ORD-1119,03-2023,03-2023,South,Illinois,Springfield,Office Supplies,Labels,463.39,0.57,10,0.3,15.91
ORD-1120,11-2023,12-2023,South,Illinois,Chicago,Technology,Copiers,591.56,55.23,5,0.2,15.24
ORD-1121,10-2023,10-2023,West,Illinois,Peoria,Furniture,Bookcases,257.62,-18.89,10,0.4,31.23
ORD-1122,11-2022,11-2022,West,Texas,Dallas,Technology,Copiers,21.23,-1.85,9,0.2,49.49
ORD-1123,10-2023,10-2023,Central,Florida,Miami,Technology,Copiers,222.73,-31.8,3,0.5,41.55
ORD-1124,11-2023,11-2023,East,Ohio,Cleveland,Furniture,Chairs,559.87,189.8,8,0.1,47.31
ORD-1125,03-2022,03-2022,South,Texas,Austin,Office Supplies,Paper,690.24,6.46,3,0.4,26.26
ORD-1126,08-2023,08-2023,South,Florida,Orlando,Office Supplies,Paper,15.44,7.59,3,0,11.52
ORD-1127,05-2022,05-2022,East,California,San Francisco,Office Supplies,Binders,268.22,59.45,3,0.2,37.74
ORD-1128,04-2022,04-2022,Central,Florida,Miami,Office Supplies,Paper,502.04,79.49,6,0.2,10.59
ORD-1129,06-2023,07-2023,East,Illinois,Chicago,Furniture,Chairs,657.61,-78.75,9,0,8.15
ORD-1130,10-2022,10-2022,East,Ohio,Cincinnati,Office Supplies,Binders,766.75,-177.8,8,0,19.38
ORD-1131,05-2022,05-2022,Central,Ohio,Cincinnati,Technology,Copiers,440.8,71.69,4,0.4,35.69
ORD-1132,11-2023,11-2023,Central,Illinois,Peoria,Furniture,Tables,957.77,199.31,4,0,12.26
ORD-1133,06-2022,06-2022,East,Texas,Austin,Technology,Accessories,689.82,-55.62,9,0.4,12.57
ORD-1134,01-2022,01-2022,Central,Florida,Miami,Furniture,Tables,543.68,135.59,3,0.2,36.68
ORD-1135,02-2022,02-2022,East,Illinois,Springfield,Office Supplies,Labels,201.67,-6.96,6,0.5,15.58
ORD-1136,01-2023,01-2023,West,Texas,Houston,Furniture,Bookcases,573.29,-82.88,9,0.5,31.51
ORD-1137,11-2023,11-2023,Central,California,San Francisco,Technology,Phones,833.85,362.84,7,0,23.96
ORD-1138,02-2023,03-2023,West,Texas,Houston,Office Supplies,Labels,814.19,-72.67,2,0.4,34.14
ORD-1139,09-2023,09-2023,Central,Ohio,Columbus,Technology,Phones,454.01,-63.64,4,0.2,38.01
ORD-1140,08-2022,08-2022,West,California,San Diego,Furniture,Bookcases,666.96,89.44,5,0.5,23.01
ORD-1141,11-2022,12-2022,West,Florida,Miami,Technology,Copiers,965.39,197.6,5,0.4,12.72
ORD-1142,10-2023,10-2023,East,California,San Diego,Office Supplies,Paper,586.04,-69.8,2,0.3,20.91
ORD-1143,03-2022,03-2022,East,Georgia,Augusta,Office Supplies,Labels,659.67,110.57,3,0,14.61
ORD-1144,03-2023,03-2023,East,California,San Francisco,Office Supplies,Paper,773.93,87.95,8,0.5,26.37
ORD-1145,07-2022,07-2022,Central,Ohio,Columbus,Furniture,Chairs,272.94,-60.2,1,0.2,41.87
ORD-1146,04-2022,04-2022,Central,Illinois,Chicago,Technology,Phones,319.23,-26.97,8,0.1,16.29
ORD-1147,03-2023,03-2023,West,Texas,Houston,Office Supplies,Paper,107.43,30.49,9,0.4,30.45
ORD-1148,06-2023,06-2023,West,Florida,Tampa,Furniture,Bookcases,965.9,32.73,4,0.3,32.01
ORD-1149,08-2023,08-2023,Central,Florida,Miami,Furniture,Tables,313.25,13.43,7,0.4,13.91
ORD-1150,01-2022,01-2022,South,Georgia,Augusta,Furniture,Tables,628.55,59.65,5,0,27.23
ORD-1151,05-2022,05-2022,West,Illinois,Springfield,Furniture,Tables,684.5,10.21,4,0.1,9.63
ORD-1152,12-2022,12-2022,West,Illinois,Peoria,Office Supplies,Paper,624.39,162.48,3,0.1,49.37
ORD-1153,07-2023,07-2023,South,Washington,Spokane,Furniture,Tables,163.43,56.27,4,0.3,43.48
ORD-1154,09-2023,09-2023,East,Washington,Seattle,Technology,Phones,416.47,94.2,1,0.1,20.37
ORD-1155,07-2023,07-2023,West,Washington,Tacoma,Furniture,Chairs,653.59,185.7,1,0.2,35.24
ORD-1156,10-2022,10-2022,Central,Illinois,Springfield,Office Supplies,Paper,647.78,-146.65,3,0.2,41.84
ORD-1157,03-2022,03-2022,Central,Ohio,Columbus,Technology,Accessories,179.45,18.21,3,0.5,6.54
ORD-1158,04-2023,04-2023,East,Texas,Dallas,Technology,Copiers,650.1,-151.69,6,0,25.91
ORD-1159,09-2023,09-2023,West,Ohio,Cincinnati,Technology,Copiers,258.11,90.83,8,0.2,9.65
ORD-1160,04-2022,04-2022,Central,Illinois,Peoria,Furniture,Chairs,320.26,-67.36,5,0.1,5.03
ORD-1161,10-2022,10-2022,West,New York,New York City,Technology,Accessories,206.09,41.77,10,0.1,30.46
ORD-1162,09-2023,10-2023,Central,Washington,Seattle,Furniture,Bookcases,380.19,7.66,2,0.4,35.36
ORD-1163,07-2022,07-2022,Central,California,San Diego,Office Supplies,Binders,837.8,87.47,9,0.4,24.32
ORD-1164,04-2022,04-2022,Central,Texas,Dallas,Office Supplies,Paper,243.72,-62.06,4,0,22.59
ORD-1165,07-2023,07-2023,South,Washington,Tacoma,Furniture,Bookcases,577.46,155.05,1,0.4,42.68
ORD-1166,10-2022,10-2022,West,Texas,Houston,Office Supplies,Binders,247.38,-33.39,9,0,23.06
ORD-1167,12-2022,12-2022,East,Florida,Tampa,Furniture,Bookcases,748.09,-111.44,7,0.4,13.1
ORD-1168,12-2022,12-2022,West,New York,New York City,Office Supplies,Labels,486.1,126.89,4,0,35.34
ORD-1169,04-2022,05-2022,West,New York,Buffalo,Office Supplies,Paper,871.83,242.79,10,0.4,21.12
ORD-1170,08-2023,09-2023,West,New York,Buffalo,Technology,Phones,228.75,4.18,2,0.3,15.6
ORD-1171,06-2023,06-2023,East,California,San Francisco,Furniture,Tables,535.96,179.78,4,0.2,35.2
ORD-1172,05-2023,05-2023,South,Ohio,Cincinnati,Technology,Accessories,543.84,29.25,2,0.5,39.65
ORD-1173,02-2022,02-2022,South,New York,New York City,Furniture,Tables,483.32,17.15,10,0.3,20.29
ORD-1174,11-2022,11-2022,East,Washington,Seattle,Office Supplies,Paper,733.52,59.18,1,0.1,39.73
ORD-1175,05-2023,05-2023,East,Washington,Seattle,Technology,Phones,190.93,-9.91,7,0.2,23.98
ORD-1176,01-2022,01-2022,East,Illinois,Springfield,Office Supplies,Binders,831.98,81.55,3,0.1,41.85
ORD-1177,05-2022,05-2022,West,Ohio,Columbus,Technology,Phones,113.08,31.49,6,0.2,33.76
ORD-1178,11-2022,11-2022,Central,California,San Diego,Technology,Copiers,167.02,-3.28,5,0.4,10.82
ORD-1179,12-2022,12-2022,West,Illinois,Peoria,Technology,Phones,157.89,30.16,4,0.4,7.27
ORD-1180,12-2022,12-2022,East,Ohio,Cincinnati,Technology,Accessories,163.91,-15.4,6,0.5,48.49
ORD-1181,02-2023,02-2023,South,Texas,Dallas,Technology,Copiers,544.41,69.5,5,0.5,43.38
ORD-1182,01-2023,01-2023,West,Florida,Miami,Technology,Copiers,81.03,-8.32,3,0.5,17.55
ORD-1183,09-2023,09-2023,Central,Georgia,Savannah,Technology,Phones,456.06,85.46,7,0.5,22.96
ORD-1184,08-2022,08-2022,West,Georgia,Savannah,Office Supplies,Binders,867.73,-148.04,10,0.2,6.26
ORD-1185,11-2023,11-2023,West,Texas,Dallas,Furniture,Chairs,421.65,37.34,7,0.3,23.02
ORD-1186,05-2022,05-2022,East,Texas,Austin,Office Supplies,Labels,60.67,9.89,8,0.5,11.99
ORD-1187,03-2023,03-2023,Central,Illinois,Chicago,Office Supplies,Paper,132.92,27.5,7,0.5,36.77
ORD-1188,02-2022,02-2022,West,California,Los Angeles,Technology,Accessories,418.07,-6.25,3,0,33.65
ORD-1189,09-2022,09-2022,East,Ohio,Cleveland,Office Supplies,Binders,174.91,28.41,5,0.1,22.75
ORD-1190,10-2022,10-2022,West,New York,Rochester,Technology,Accessories,138.49,-9.17,5,0.2,16.11
ORD-1191,06-2023,06-2023,South,Texas,Houston,Furniture,Tables,61.29,20.07,2,0.3,45.94
ORD-1192,01-2022,02-2022,Central,Florida,Orlando,Furniture,Chairs,125.59,3.09,8,0.1,27.69
ORD-1193,01-2023,01-2023,Central,New York,Rochester,Technology,Copiers,97.74,5.54,2,0.1,10.02
ORD-1194,02-2023,02-2023,Central,Texas,Houston,Furniture,Chairs,355.53,33.57,7,0.2,34.32
ORD-1195,12-2022,12-2022,Central,Washington,Spokane,Furniture,Bookcases,868.1,-54.43,1,0.2,18.98
ORD-1196,08-2022,08-2022,East,Georgia,Atlanta,Technology,Copiers,999.72,65.49,3,0.4,42.66
ORD-1197,05-2023,05-2023,West,Illinois,Chicago,Technology,Copiers,760.49,81.53,3,0.4,39.28
ORD-1198,06-2023,06-2023,West,Texas,Austin,Furniture,Bookcases,371.99,20.21,2,0.3,5.21
ORD-1199,04-2022,04-2022,West,Ohio,Cleveland,Office Supplies,Labels,110.63,-2.64,2,0.2,14.05
ORD-1200,08-2023,08-2023,East,Ohio,Cleveland,Furniture,Tables,192.34,-1.76,8,0.2,42.16
ORD-1201,01-2023,01-2023,Central,New York,New York City,Technology,Copiers,407.62,-9.29,10,0.1,49.74
ORD-1202,03-2023,03-2023,South,Georgia,Atlanta,Office Supplies,Paper,304.46,33.68,5,0.5,19.93
ORD-1203,08-2022,09-2022,East,New York,New York City,Furniture,Chairs,320.12,-70.22,4,0,44.98
ORD-1204,01-2022,01-2022,East,Texas,Austin,Furniture,Chairs,732.19,104.64,7,0.4,32.89
ORD-1205,08-2022,08-2022,West,Washington,Tacoma,Technology,Accessories,55.35,12.92,7,0.5,17.89
ORD-1206,09-2022,09-2022,West,Washington,Spokane,Furniture,Bookcases,77.63,16.75,9,0.2,19.01
ORD-1207,10-2022,10-2022,West,New York,New York City,Office Supplies,Paper,146.03,18.13,5,0.4,9.92
ORD-1208,08-2023,08-2023,Central,Washington,Tacoma,Office Supplies,Binders,945.59,-46.86,5,0.3,8.67
ORD-1209,06-2023,06-2023,East,Illinois,Chicago,Office Supplies,Labels,695.16,-49.29,5,0.5,17.75
ORD-1210,05-2022,05-2022,West,Texas,Dallas,Office Supplies,Paper,896.15,171.54,9,0,13.93
ORD-1211,07-2022,07-2022,Central,Texas,Dallas,Technology,Phones,221.73,8.31,10,0.3,16.18
ORD-1212,08-2023,08-2023,East,California,San Francisco,Technology,Phones,721.88,231.3,7,0.3,13.88
ORD-1213,07-2023,07-2023,West,Florida,Tampa,Furniture,Tables,637.55,28.53,6,0.3,41.72
ORD-1214,10-2022,10-2022,Central,New York,New York City,Technology,Accessories,396.34,-48.22,6,0.1,44.55
ORD-1215,04-2022,04-2022,South,Illinois,Peoria,Office Supplies,Binders,112.3,-11.76,10,0.3,44.82
ORD-1216,06-2023,06-2023,South,Georgia,Savannah,Furniture,Tables,743.06,-51.48,7,0.3,16.88
ORD-1217,04-2023,04-2023,West,New York,New York City,Furniture,Chairs,902.04,253.65,4,0.2,6.94
ORD-1218,06-2023,06-2023,East,Texas,Austin,Office Supplies,Labels,632.17,284.31,6,0,38.77
ORD-1219,04-2023,04-2023,South,Georgia,Augusta,Office Supplies,Labels,24.17,-1.62,5,0.5,39.88
ORD-1220,11-2023,11-2023,South,Illinois,Peoria,Technology,Copiers,232.77,-4.06,9,0.1,18.44
ORD-1221,03-2022,03-2022,South,Washington,Spokane,Technology,Accessories,248.68,-0.4,10,0.5,19.09
ORD-1222,08-2022,08-2022,West,Florida,Orlando,Furniture,Bookcases,780.16,188.04,4,0.5,10.53
ORD-1223,06-2023,06-2023,Central,Texas,Dallas,Furniture,Bookcases,785.61,63.23,7,0.3,46.18
ORD-1224,07-2022,07-2022,Central,Ohio,Columbus,Office Supplies,Binders,39.67,-4.71,8,0.5,8.67
ORD-1225,12-2023,12-2023,West,Florida,Orlando,Technology,Accessories,658.46,326.4,3,0,31.99
ORD-1226,11-2023,11-2023,South,Georgia,Augusta,Office Supplies,Binders,881.6,79.17,6,0.1,29.1
ORD-1227,04-2022,04-2022,South,Washington,Tacoma,Office Supplies,Paper,862.92,217.16,3,0.4,40.93
ORD-1228,02-2023,02-2023,East,New York,Buffalo,Furniture,Chairs,574.25,-46.91,3,0.2,10.28
ORD-1229,11-2022,11-2022,Central,Georgia,Savannah,Technology,Copiers,62.5,0.01,9,0.4,22.67
ORD-1230,12-2023,12-2023,Central,Texas,Dallas,Furniture,Chairs,84.47,0.4,1,0,35.83
ORD-1231,07-2023,07-2023,East,Texas,Dallas,Furniture,Bookcases,446.11,40.82,9,0.4,35.39
ORD-1232,04-2023,04-2023,Central,Ohio,Cincinnati,Office Supplies,Labels,291.85,15.1,6,0.4,38.8
ORD-1233,06-2023,06-2023,East,New York,New York City,Technology,Phones,300.1,-9.77,4,0.5,36.2
ORD-1234,03-2023,03-2023,Central,Georgia,Atlanta,Furniture,Bookcases,188.86,-18.06,3,0.5,47.57
ORD-1235,06-2023,06-2023,West,Texas,Austin,Furniture,Tables,154.57,-36.67,7,0.1,29.24
ORD-1236,05-2022,05-2022,East,New York,Rochester,Technology,Accessories,22.21,-1.93,3,0.2,13.03
ORD-1237,11-2023,11-2023,South,Georgia,Atlanta,Furniture,Tables,172.16,41.04,1,0.4,5.26
ORD-1238,11-2023,11-2023,Central,Illinois,Springfield,Furniture,Chairs,124.33,-12.36,2,0.1,15.54
ORD-1239,11-2023,11-2023,West,Washington,Spokane,Technology,Phones,812.11,187.04,10,0.1,14.38
ORD-1240,09-2023,09-2023,Central,Illinois,Chicago,Technology,Accessories,696.99,111.25,8,0.2,5.9
ORD-1241,07-2022,07-2022,Central,California,San Diego,Technology,Accessories,176.94,29.26,9,0.1,6.63
ORD-1242,03-2022,03-2022,East,New York,New York City,Furniture,Chairs,53.48,5.61,7,0,36.82
ORD-1243,09-2023,10-2023,Central,Georgia,Savannah,Office Supplies,Labels,569.34,-116.23,5,0,7.71
ORD-1244,02-2023,02-2023,West,Ohio,Cleveland,Technology,Accessories,246.32,9.77,1,0.2,24.93
ORD-1245,07-2023,07-2023,West,Florida,Orlando,Furniture,Chairs,64.49,22.91,6,0,15.1
